Артикул;Номенклатура;Тип;Ед;Дополнительное описание номенклатуры;Картинка;Цена
;Navigator-430 V 24" (новый дизайн);товар;шт;6-ск., рама AL (11,5"), аморт. вилка SR SUNTOUR, SHIMANO SL-RS45-6R/RD-TX35D/MF-TZ20, двойные AL обода, AL тормоза POWER, пл. крылья;;15715
;Navigator-440 V 24";товар;шт;18-ск., рама AL (11,5"), аморт.вилка SR SUNTOUR, SHIMANO SL-RS36/FD-TY10/RD-TX35D/MF-TZ20, двойные AL обода, тормоза AL , пл. крылья;;14970
;Navigator-450 V 24";товар;шт;18-ск., рама AL (14"), аморт.вилка SR SUNTOUR, SHIMANO SL-RS36/FD-TY10/RD-TX35D/MF-TZ20, двойные AL обода, AL тормоза, пл. крылья, звонок;;14350
;Navigator-460 V 24";товар;шт;18-ск., рама AL (11,5"), аморт. вилка SR SUNTOUR, SHIMANO SL-RS45/FD-TY10/RD-TX35/MF-TZ20, двойные AL обода, AL тормоза  ,  пл. крылья;;16385
;Navigator-470 MD 24";товар;шт;21-ск, рама AL (14"), аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF51/FD-TX50/RD-M310/MF-TZ21, двойные AL обода, AL тормоза, пл. крылья;;19640
;Navigator-470 V 24";товар;шт;21-ск., рама AL (14"), аморт.вилка SR SUNOTUR, SHIMANO ST-EF51/FD-TX50/RD-M310/MF-TZ21, двойные AL обода, AL тормоза, пл. крылья;;17205
;Navigator-480 MD 24" (новая модель);товар;шт;14-ск., повышенная проходимость (FAT-BIKE), paмa AL (13.5"), вилка  алюминий, SHIMANO MF-TZ21/FD-M410/RD-M360/SL-RS36, двойные AL обода, механические дисковые тормоза TEKTRO, покрышки 20"x4.0" CHAO YANG, звонок;;24655
;Navigator-490 MD 24" (новый дизайн);товар;шт;21-ск, рама AL (14"), вилка  SR SUNTOUR, SHIMANO ST-EF51/FD-M190/RD-M360, AL обода, AL тормоза, пластиковые крылья;;23835
;Navigator-490 V 24".12;товар;шт;24" 21-ск, 2-х подвес., рама AL, Shimano FD-M190A/M360(ACERA)/ST-EF51, вилка SF9-XCT JR-24", пл. крылья, дв. AL обод;;19580
;Navigator-490 V 24".13;товар;шт;21-ск, рама AL (356мм), аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF51/FD-M190/RD-M360, кассета DNP, двойные AL обода WEINMANN, AL тормоза V-типа TEKTRO, пластиковые крылья, звонок;;22620
;Pilot-830 24.13;товар;шт;3-ск, рама AL (350мм), SHIMANO Nexus, двойные AL обода, зад. ножной тормоз, передний AL тормоз V-типа, длинные пластиковые крылья, багажник, зад. фонарь, перед. фара, звонок;;13405
;Pilot-830 24";товар;шт;3-ск., рама AL (14"), аморт. вилка стальная, SHIMANO SL-RS35, двойные AL обода, тормоза передний AL, пл. крылья, багажник, звонок, насос;;16190
;Горные ;;;;;
;Aggressor 26";товар;шт;21-ск., рама AL (16") аморт. вилка DIRT RST, SHIMANO ST-EF51/FD-TX50/RD-M310/MF-TZ21, двойной AL обод WEINMANN, передний механический дисковый тормоз, задние V-типа;;26280
;Navigator-500 V 26";товар;шт;18-ск., рама STEEL (17.5"/19.5"/21.5"), аморт. вилка сталь, SHIMANO SL-RS35/FD-TZ30/RD-TX35/MF-TZ20, двойной AL обод, тормоза PROMAX V-типа пл.крылья;;12465
;Navigator-510 V 26" (новый дизайн);товар;шт;21-ск., рама AL (16"), аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF51/FD-TX50/RD-TX35D/MF-TZ21, двойной AL обод, тормоза V-типа пл. крылья;;16110
;Navigator-530 V 26";товар;шт;18-ск., рама  STEEL (18"), стальная жесткая вилка, SHIMANO SL-RS36/FD-TX50/RD-TX35/MF-TZ20, двойной AL обод WEINMANN, тормоза V-типа, пл.крылья;;13210
;Navigator-550 V 26";товар;шт;21-ск., рама  STEEL (18"), аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF51/FD-TX51/RD-TX34/MF-TZ21, двойной AL обод WEINMANN, тормоза V-типа, пл.крылья;;15305
;Navigator-570 V 26";товар;шт;21-ск., рама AL (18") аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF65/FD-TX50/RD-M360/CS-HG41, двойной AL обод WEINMANN, тормоза V-типа, TEKTRO, пл. крылья;;18285
;Navigator-600 V 26";товар;шт;21-ск., рама AL (17"/19"/21") аморт. Стальная вилка, SHIMANO ST-EF51/FD-TZ31/RD-TX35D/MF-TZ21, двойной AL обод WEINMANN, тормоза V-типа, пл.крылья;;14425
;Navigator-610 MD 26" (новый дизайн);товар;шт;21-ск., рама AL (15.5"/17.5"/19.5"/21.5") аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF51/FD-TZ31/RD-TX35D/MF-TZ21, двойной AL обод WEINMANN, механические дисковые тормоза, пл.крылья;;18285
;Navigator-610 V 26" (новый дизайн);товар;шт;21-ск., рама AL (15.5"/17.5"/19.5"/21.5") аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF51/FD-TZ31/RD-TX35D/MF-TZ21, двойной AL обод WEINMANN, тормоза V-типа, пл.крылья;;16250
;Navigator-630 MD 26";товар;шт;21-ск., рама AL (15.5"/17.5"/19.5"/21.5") аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF51/FD-TX51/RD-M310/CS-HG20, двойной AL обод WEINMANN, механический дисковый тормоз ARIES TEKTRO, пл.крылья;;19910
;Navigator-630 V 26";товар;шт;21-ск., рама AL (15.5"/17.5"/19.5"/21.5") аморт. вилка XCT SR SUNTOUR, SHIMANO ST-EF51/FD-TX51/RD-M310/CS-HG20, двойной AL обод WEINMANN, тормоза V-типа, пл.крылья;;17875
;Navigator-650 MD 26" (новый дизайн);товар;шт;21-ск., рама AL (15.5"/17.5"/19.5"/21.5") аморт. вилка XCM SR SUNTOUR, SHIMANO ST-EF51/FD-TX51/RD-M360/CS-HG41, двойной AL обод WEINMANN, механические дисковые тормоза TEKTRO NOVELA, пл. крылья;;21935
